"Company Name","Funding Amount","Funding Date","Funding Type","Website","Industries","Location","Rank","Description","LinkedIn Status","Update People Search (Find people Table) - 2026-02-04T15:07:37.739Z","xAI / Get Website and LinkedIn URL","xAI / Website","xAI / LinkedIn URL","xAI / Qualify Company","xAI / Qualification Status"
"PoobahAI","$2,000,000","Oct 29, 2025","Seed","www.poobah.ai","Artificial Intelligence (AI), Blockchain, SaaS, Web3","Fort Worth, Texas, United States",6565,"PoobahAI offers AI-powered tools designed to simplify the creation of Web3 projects.","View on LinkedIn\",,"Response","https://poobah.ai","https://linkedin.com/company/poobahai","Response","Qualified"
"Social Links","$3,000,000","Nov 24, 2025","Seed","sociallinks.io","Artificial Intelligence (AI), Big Data, Data Visualization, Fraud Detection, Security","New York, New York, United States",7111,"Social Links develops AI-powered open-source intelligence software to help investigators and security professionals.","–",,"Response","https://sociallinks.io/","https://www.linkedin.com/company/social-links","Response","Qualified"
"Pangram Labs","$2,700,000","Jun 24, 2025","Seed","pangram.com","Artificial Intelligence (AI), Software","Brooklyn, New York, United States",7263,"Highly accurate technology to identify AI-generated content.","View on LinkedIn\",,"Response","https://pangram.com","https://www.linkedin.com/company/pangramlabs","Response","Qualified"
"Auditocity","$2,000,000","Nov 11, 2025","Seed","www.auditocity.com","Compliance, Enterprise Software, Human Resources, SaaS, Software","Fairhope, Alabama, United States",7294,"Auditocity is a B2B human resource auditing company providing compliance tools for business customers.","View on LinkedIn\",,"Response","https://auditocity.com/","https://www.linkedin.com/company/auditocity","Response","Qualified"
"Clipbook","$3,300,000","Dec 1, 2025","Seed","clipbook.com/","Artificial Intelligence (AI), Information and Communications Technology (ICT), Software","Washington, District of Columbia, United States",7589,"Clipbook is an AI-powered research and analysis platform designed for public relations, communications, and public affairs teams.","View on LinkedIn\",,"Response","https://clipbook.com","https://www.linkedin.com/company/clipbookai","Response","Qualified"
"Supply Pay","$2,500,000","Nov 1, 2024","Seed","supplypay.io","Artificial Intelligence (AI), FinTech, Information Technology, Logistics","Mcallen, Texas, United States",8218,"Supply Pay is a software company that aims to streamline the global supply chain with insightful products & services.","View on LinkedIn\",,"Response","https://supplypay.io","https://www.linkedin.com/company/supply-pay","Response","Qualified"
"Kinotek","$2,000,000","Jan 5, 2026","Seed","www.kinotek.com/","Education, Fitness, Health Care, Information Technology","Portland, Maine, United States",8869,"Kinotek is a digital health platform revolutionizing musculoskeletal treatment and care.","View on LinkedIn\",,"Response","https://kinotek.com","https://linkedin.com/company/kinoteksoftware","Response","Qualified"
"BITE Data","$2,500,000","Nov 10, 2025","Seed","www.bitedata.io","Artificial Intelligence (AI), Compliance, Logistics, Manufacturing, SaaS, Supply Chain Management","Leesburg, Virginia, United States",8880,"BITE provides global trade teams with instant answers on tariffs, restricted parties, and supply chain risks.","View on LinkedIn\",,"Response","https://bitedata.io","https://www.linkedin.com/company/bitedata","Response","Qualified"
"Debbie","$2,800,000","Jan 8, 2025","Seed","joindebbie.com","Financial Services, FinTech, Personal Finance","New York, New York, United States",9047,"Debbie is the first mobile platform that rewards consumers for reaching their financial goals.","View on LinkedIn\",,"Response","https://www.joindebbie.com/","https://www.linkedin.com/company/debbie-rewards","Response","Qualified"
"SmartWiz","$2,500,000","Dec 20, 2024","Seed","smartwiz.ai","Accounting, Artificial Intelligence (AI), FinTech, Software","Birmingham, Alabama, United States",9263,"SmartWiz is a vertical AI platform that eliminates the grunt work for busy tax professionals and CPAs.","View on LinkedIn\",,"Response","https://smartwiz.ai/","https://www.linkedin.com/company/smartwiz-io","Response","Qualified"
"SquarePeg","$3,500,000","Sep 1, 2024","Seed","www.squarepeg.ai/","B2B, Enterprise Software, Human Resources, Recruiting, SaaS, Software","Salt Lake City, Utah, United States",10019,"SquarePeg is a smart candidate screening tool that helps recruiting teams identify top applicants with confidence.","View on LinkedIn\",,"Response","https://squarepeg.ai","https://www.linkedin.com/company/squarepeg-hires","Response","Qualified"
"AccurKardia","$2,500,000","Dec 1, 2025","Seed","www.accurkardia.com/","Analytics, Artificial Intelligence (AI), Health Diagnostics, Internet of Things, Medical","New York, New York, United States",10347,"AccurKardia is an ECG-led diagnostics software company.","View on LinkedIn\",,"Response","https://www.accurkardia.com/","https://www.linkedin.com/company/accurkardia","Response","Qualified"
"Brainify.AI","$2,300,000","Aug 31, 2025","Seed","brainify.ai","Artificial Intelligence (AI), Health Care, Life Science, Machine Learning, Medical Device","New York, New York, United States",11101,"Brain data company building the foundation for precision medicine in brain disorders.","View on LinkedIn\",,"Response","https://brainify.ai","https://www.linkedin.com/company/neurosciencesoftware","Response","Qualified"
"BridgePort","$3,225,000","Jul 28, 2025","Seed","www.bridgeportmq.com/","Cryptocurrency, Financial Services, FinTech, Trading Platform, Web3","New York, New York, United States",11110,"BridgePort is a fintech company that provides middleware for institutional crypto trading, custodial options for off-exchange settlement.","View on LinkedIn\",,"Response","https://www.bridgeportmq.com","https://www.linkedin.com/company/bridgeportmq","Response","Qualified"
"Barker","$3,500,000","Nov 18, 2025","Seed","www.thebarkerprice.com","Artificial Intelligence (AI), FinTech, Insurance, InsurTech","New York, New York, United States",11179,"Insurance, Pricing, Data, Fintech","View on LinkedIn\",,"Response","https://thebarkerprice.com","https://www.linkedin.com/company/thebarkerprice","Response","Qualified"
"Algoma","$2,300,000","May 15, 2025","Seed","www.algoma.co","Construction, Real Estate","New York, New York, United States",11684,"Algoma is a digital architect and engineer for sustainable buildings.","View on LinkedIn\",,"Response","https://www.algoma.co/","https://www.linkedin.com/company/algomaco","Response","Qualified"
"Averi","$3,000,000","May 27, 2025","Seed","www.averi.ai","Artificial Intelligence (AI), Marketing, Software","Brooklyn, New York, United States",11789,"Averi is an AI marketing platform that combines proprietary AI models for strategy and content creation with a marketplace of human experts.","View on LinkedIn\",,"Response","https://www.averi.ai/","https://www.linkedin.com/company/averi-ai","Response","Qualified"
"ThreatMate","$3,200,000","Feb 6, 2025","Seed","www.threatmate.com/","Cyber Security, Information Technology, Software","Dover, Delaware, United States",12100,"ThreatMate revolutionizes cybersecurity by offering a single platform with inquisitive security capabilities for the middle market.","View on LinkedIn\",,"Response","https://threatmate.com","https://www.linkedin.com/company/threatmate","Response","Qualified"
"SideShift","$2,000,000","Nov 20, 2025","Seed","sideshift.app","Information Technology, Internet","New York, New York, United States",12363,"SideShift is a UGC Creator Marketplace, allowing brands and agencies to hire, manage, track performance, and pay out creators at scale.","View on LinkedIn\",,"Response","https://www.sideshift.app/","https://www.linkedin.com/company/sideshiftapp","Response","Qualified"
"Kibu","$2,000,000","Apr 1, 2025","Seed","kibu.com/","Health Care","Stamford, Connecticut, United States",12365,"Kibu is the must have software for disability providers and inclusive learning platform for ALL abilities.","View on LinkedIn\",,"Response","https://kibu.com","https://linkedin.com/company/kibuhq","Response","Qualified"
"Confianza","$2,457,067","Dec 22, 2025","Seed","confianzaus.com/","Finance, Financial Services, Insurance","Albuquerque, New Mexico, United States",12488,"Confianza focuses on providing value through data integration for second and third-tier insurance companies.","View on LinkedIn\",,"Response","https://www.confianzaus.com","https://www.linkedin.com/company/confianza-us","Response","Qualified"
"Pulse Charter Connect","$2,000,000","May 6, 2025","Seed","pulsecharterconnect.com","Health Care, Logistics","Chicago, Illinois, United States",12809,"Pulse Charter Connect provides organ transportation logistics services.","View on LinkedIn\",,"Response","https://pulsecharterconnect.com","https://linkedin.com/company/pulse-charter-connect","Response","Qualified"
"Another","$2,500,000","Jan 20, 2026","Seed","www.joinanother.io/","Apparel, Information Technology, Internet, Online Portals","New York, New York, United States",13525,"Another is a startup provides software to centralize excess inventory data and workflows across retailers' existing systems","View on LinkedIn\",,"Response","https://joinanother.io","https://www.linkedin.com/company/joinanother","Response","Qualified"
"cliexa","$2,740,000","Feb 19, 2025","Seed","www.cliexa.com","Health Care, Health Diagnostics, Hospital, Medical","Denver, Colorado, United States",13577,"cliexa enables physicians and hospitals to fully leverage patient-reported data to improve clinical care and outcomes","View on LinkedIn\",,"Response","https://cliexa.com","https://linkedin.com/company/cliexa","Response","Qualified"
"Shush Inc","$3,000,000","Dec 19, 2024","Seed","www.shush.pw","Cyber Security, Software, Telecommunications","Lake Dallas, Texas, United States",13587,"Shush enables Mobile Network Operators (MNOs) to participate in the Network Authentication ecosystem","View on LinkedIn\",,"Response","https://shush.pw","https://www.linkedin.com/company/shush-inc","Response","Qualified"
"Professional.me","$3,100,000","Aug 17, 2025","Seed","www.professional.me/","Artificial Intelligence (AI), Human Resources, Software","Dover, Delaware, United States",13776,"Professional.me is an AI-powered talent management platform that uses proprietary expert systems.","View on LinkedIn\",,"Response","https://www.professional.me","https://www.linkedin.com/company/meetprofessionalme","Response","Qualified"
"National Quality Systems","$3,475,000","Jan 18, 2026","Seed","mynqs.com","Software","Winter Park, Florida, United States",13923,"National Quality Systems is a clinical registry company empowering hospitals to achieve both clinical excellence and financial integrity.","–",,"Response","https://www.mynqs.com","https://www.linkedin.com/company/mynqs","Response","Qualified"
"kapa.ai","$3,200,000","Oct 3, 2024","Seed","www.kapa.ai/","Artificial Intelligence (AI), Chatbot, Software","Dover, Delaware, United States",13944,"kapa.ai answers developer questions automatically from the technical resources to generate an LLM-powered chatbot.","View on LinkedIn\",,"Response","https://www.kapa.ai","https://www.linkedin.com/company/kapa-ai","Response","Qualified"
"Unthread","$3,000,000","Aug 9, 2024","Seed","unthread.io","Artificial Intelligence (AI), Customer Service, SaaS, Software","New York, New York, United States",14509,"Unthread is an AI-powered customer support platform built into Slack.","View on LinkedIn\",,"Response","https://unthread.io","https://www.linkedin.com/company/unthreadai","Response","Qualified"
"Intryc","$3,100,000","Jan 23, 2025","Seed","intryc.com","Analytics, Business Development, Customer Service, Generative AI, Software","Wilmington, Delaware, United States",14572,"Intryc employs artificial intelligence to automate the quality assurance process for customer support services.","View on LinkedIn\",,"Response","https://www.intryc.com","https://www.linkedin.com/company/intryc","Response","Qualified"
"Whistle Performance","$2,000,000","Jan 20, 2026","Seed","www.whistleperformance.ai","Analytics, Artificial Intelligence (AI), EdTech, Enterprise Software, Health Care, Human Resources, Machine Learning, Software, Sports","San Diego, Texas, United States",14985,"Whistle Performance provides AI-driven sports and human performance analytics software for teams and organizations.","View on LinkedIn\",,"Response","https://whistleperformance.ai","https://www.linkedin.com/company/whistleperformance","Response","Qualified"
"Elligint Health","$3,200,000","Jan 10, 2025","Seed","elliginthealth.com","Analytics, Consulting, Data Management","Edison, New Jersey, United States",15485,"Elligint Health provides predictive analytics and advisory services for healthcare improvement.","View on LinkedIn\",,"Response","https://elliginthealth.com/","https://www.linkedin.com/company/elligint-health","Response","Qualified"
"Clockout","$2,000,000","Jun 18, 2025","Seed","joinclockout.com","Embedded Software, Enterprise Software, FinTech, SaaS","Miami, Florida, United States",15650,"Clockout is an embedded earned wage access platform that enables employees to access real-time earnings from their mobile banking app","View on LinkedIn\",,"Response","https://joinclockout.com","https://www.linkedin.com/company/joinclockout","Response","Qualified"
"macrocosm","$2,624,991","Dec 30, 2025","Seed","macrocosm.group/","Analytics, Enterprise Software, Financial Services","Brooklyn, New York, United States",15659,"macrocosm is a financial services and tech company that offers advanced computational techniques to simulate economic systems globally.","View on LinkedIn\",,"Response","https://macrocosm.group","https://www.linkedin.com/company/macrocosm-group","Response","Qualified"
"Nucs AI","$3,500,000","Sep 16, 2024","Seed","nucs.ai/","Artificial Intelligence (AI), Health Care, Life Science, Medical Device, Precision Medicine, Software","New York, New York, United States",15837,"AI for Prostate Cancer Imaging & Therapy Response Prediction","View on LinkedIn\",,"Response","https://nucs.ai","https://www.linkedin.com/company/nucsai","Response","Qualified"
"Big Rentals","$2,800,000","Aug 15, 2025","Seed","bigrentals.com","Construction, Marketplace, Rental, SaaS","Dover, Delaware, United States",15860,"Equipment rentals made easy with all-in-one rental software to help owners manage their business, grow sales, and accept online bookings.","View on LinkedIn\",,"Response","https://bigrentals.com","https://www.linkedin.com/company/bigrentals","Response","Qualified"
"CarePilot","$2,500,000","Jun 16, 2025","Seed","www.carepilot.com/","Artificial Intelligence (AI), Health Care","Kansas City, Missouri, United States",16078,"CarePilot is an innovative platform aimed to better healthcare experiences via the use of AI.","View on LinkedIn\",,"Response","https://www.carepilot.com/","https://www.linkedin.com/company/carepilot-ai","Response","Qualified"
"Spiky.AI","$2,800,000","Feb 25, 2025","Seed","spiky.ai","Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, Meeting Software, Sales, Sales Automation, Sales Enablement","Buffalo, New York, United States",16248,"Spiky.ai provides real-time communication analytics to understand customer engagement and behavior.","View on LinkedIn\",,"Response","https://spiky.ai","https://www.linkedin.com/company/spiky-ai","Response","Qualified"
"Stitch Studio","$3,000,000","Apr 1, 2025","Seed","stitchstudio.ai","Artificial Intelligence (AI), Insurance","Chicago, Illinois, United States",16373,"Stitch Studio is focused on transforming insurance operations through AI-powered solutions.","View on LinkedIn\",,"Response","https://stitchstudio.ai","https://www.linkedin.com/company/stitchstudioai","Response","Qualified"
"Prophetic","$3,184,999","Apr 2, 2025","Seed","www.propheticsoftware.ai/","PropTech","Portland, Oregon, United States",16719,"Prophetic Software offers real estate development tools that assist users in analyzing zoning maps and property data.","View on LinkedIn\",,"Response","https://propheticsoftware.ai","https://www.linkedin.com/company/propheticsoftware","Response","Qualified"
"Onsetto","$2,200,000","Jan 8, 2026","Seed","onsetto.com/","Financial Services, FinTech","Minneapolis, Minnesota, United States",16822,"Onsetto operates as a business account switching and relationship-primacy platform.","View on LinkedIn\",,"Response","https://onsetto.com","https://www.linkedin.com/company/onsetto","Response","Qualified"
"AlphaBitCore","$2,500,000","Jan 15, 2026","Seed","alphabitcore.com","Agentic AI, Artificial Intelligence (AI), Enterprise Applications, Enterprise Software, Financial Services, FinTech, Generative AI","Chicago, Illinois, United States",17156,"Virtualization layer for Enterprise AI","View on LinkedIn\",,"Response","https://alphabitcore.com/","https://www.linkedin.com/company/alphabitcore/","Response","Qualified"
"Cariina","$2,999,998","Sep 2, 2025","Seed","www.cariina.com/","EdTech, Software","Boston, Massachusetts, United States",17244,"Organizational Management Platform for K-12 Schools.","View on LinkedIn\",,"Response","https://www.cariina.com","https://www.linkedin.com/company/cariina","Response","Qualified"
"Reelist","$3,000,000","Feb 14, 2025","Seed","www.reelist.com/","Artificial Intelligence (AI), Communities, Enterprise Software, Machine Learning, Recruiting, Video Advertising","New York, New York, United States",17357,"Recruit talent directly off social media platforms like TikTok and Instagram.","View on LinkedIn\",,"Response","https://reelist.com","https://www.linkedin.com/company/reelist","Response","Qualified"
"Greenshoe","$3,000,000","Nov 13, 2025","Seed","www.greenshoe.ai/","Artificial Intelligence (AI), Compliance, Legal Tech","New York, New York, United States",17445,"Greenshoe is an AI-powered platform that streamlines SEC disclosure drafting, analysis, and benchmarking for enhanced productivity.","View on LinkedIn\",,"Response","https://www.greenshoe.ai/","https://www.linkedin.com/company/greenshoeai","Response","Qualified"
"Marveri","$3,500,000","May 5, 2025","Seed","marveri.com/","Artificial Intelligence (AI), Information Technology, Legal Tech, Machine Learning, Software","Cambridge, Massachusetts, United States",17564,"Marveri is a tech company focused on revolutionizing corporate and transactional work.","View on LinkedIn\",,"Response","https://www.marveri.com/","https://www.linkedin.com/company/marveri","Response","Qualified"
"Agentech","$3,000,000","Oct 21, 2024","Seed","www.agentech.com","Artificial Intelligence (AI), Insurance, Software","Oklahoma City, Oklahoma, United States",17744,"Agentech is an AI claim 'service-as-a-software' solution that features hundreds of expertly trained digital agents.","View on LinkedIn\",,"Response","https://agentech.com","https://linkedin.com/company/agentech-com","Response","Qualified"
"Propel People AI","$3,000,000","Jul 22, 2025","Seed","propelpeople.ai","Artificial Intelligence (AI), Construction, Human Resources","Cleveland, Ohio, United States",18357,"Propel People is a mobile-first, AI-powered hiring platform designed specifically to help construction contractors.","View on LinkedIn\",,"Response","https://propelpeople.ai","https://www.linkedin.com/company/propel-people","Response","Qualified"
"Mentium.io","$3,200,000","Oct 9, 2025","Seed","www.mentium.io/","Artificial Intelligence (AI), Financial Services, FinTech","Austin, Texas, United States",19401,"Mentium provides an AI-powered digital workforce tailored for logistics and freight operations.","View on LinkedIn\",,"Response","https://mentium.io","https://www.linkedin.com/company/mentiumio","Response","Qualified"
"LoanWell","$3,000,000","Oct 16, 2024","Seed","loanwell.com/","Credit, Financial Services, FinTech, Internet, Online Portals","Durham, North Carolina, United States",19830,"LoanWell is a B2B fintech platform modernizing community lending to enable equitable access to affordable capital for all.","View on LinkedIn\",,"Response","https://loanwell.com","https://linkedin.com/company/loanwell","Response","Qualified"
"Flashlight Learning","$2,268,000","Dec 31, 2025","Seed","flashlight360.com","E-Learning, Skill Assessment, Software","Draper, Utah, United States",20760,"Flashlight Learning offers tools for assessing multilingual learners, focusing on language development and student progress.","View on LinkedIn\",,"Response","https://flashlight360.com","https://www.linkedin.com/company/flashlight-learning","Response","Qualified"
"Moveo.AI","\'802,300,000","Aug 27, 2024","Seed","moveo.ai","Artificial Intelligence (AI), Customer Service, Debt Collections, Generative AI, Natural Language Processing, Software","New Milford, New Jersey, United States",21113,"Moveo.AI provides a conversational AI platform that automates customer interactions.","View on LinkedIn\",,"Response","https://moveo.ai","https://www.linkedin.com/company/moveo-ai","Response","Qualified"
"Yotta Labs","$3,500,000","Sep 30, 2025","Seed","www.yottalabs.ai","AI Infrastructure, Artificial Intelligence (AI), Cloud Computing, GPU","Seattle, Washington, United States",21153,"Building the GPU Cloud for efficient ML with heterogeneous hardware and cross-cloud orchestration","View on LinkedIn\",,"Response","https://yottalabs.ai","https://www.linkedin.com/company/yotta-labs","Response","Qualified"
"0xbow","$3,500,000","Nov 18, 2025","Seed","0xbow.io/","Decentralized Finance (DeFi)","Nashville, Tennessee, United States",21169,"0xbow is an Ethereum privacy service provider that primarily offers support for Sky's USDS stablecoin.","View on LinkedIn\",,"Response","https://0xbow.io","https://www.linkedin.com/company/0xbow","Response","Qualified"
"ContraForce","$3,250,000","Oct 31, 2024","Seed","www.contraforce.com","Agentic AI, Security, Software","Mckinney, Texas, United States",21492,"ContraForce creating a secure future where service providers are the leading force against the global cybercrime epidemic.","View on LinkedIn\",,"Response","https://contraforce.com","https://www.linkedin.com/company/contraforce","Response","Qualified"
"Fluint","$2,400,000","Aug 12, 2025","Seed","www.fluint.io/","Artificial Intelligence (AI), B2B, Internet, Software","Denver, Colorado, United States",21645,"Fluint is an AI-powered sales enablement platform designed to help B2B teams craft tailored, account-based documents.","View on LinkedIn\",,"Response","https://fluint.io/","https://linkedin.com/company/fluint","Response","Qualified"
"Ropes","$3,100,000","Apr 2, 2025","Seed","www.ropes.ai/","Artificial Intelligence (AI), Information Technology, Software","New York, New York, United States",21999,"Ropes is a software platform that bridges the gap between technical assessment and real-world performance.","View on LinkedIn\",,"Response","https://www.ropes.ai","https://www.linkedin.com/company/ropes-ai","Response","Qualified"
"Nimblemind.ai","$2,500,000","Mar 14, 2025","Seed","nimblemind.ai/","Generative AI, Health Care, Software","New York, New York, United States",22105,"NimbleMind AI delivers custom artificial intelligence solutions, focusing on automation, data insights, and scalable systems.","View on LinkedIn\",,"Response","https://www.nimblemind.ai","https://www.linkedin.com/company/nimblemindai","Response","Qualified"
"Octolane AI","$2,600,000","Apr 14, 2025","Seed","www.octolane.com/","Artificial Intelligence (AI), CRM, Sales Enablement","New York, New York, United States",23083,"Octolane AI is an artificial intelligence platform that rebuilds salesforce with the power of AI.","View on LinkedIn\",,"Response","https://octolane.com","https://linkedin.com/company/octolane","Response","Qualified"
"LogicFlo AI","$2,700,000","Jun 30, 2025","Seed","logicflo.ai/","Artificial Intelligence (AI), Digital Signage, Life Science, Medical Device","New York, New York, United States",23125,"LogicFlo AI is an organisation engaged in building AI agents for healthcare and life sciences.","View on LinkedIn\",,"Response","https://logicflo.ai","https://www.linkedin.com/company/logicflo-ai","Response","Qualified"
"Assurified","$3,000,000","Dec 2, 2024","Seed","www.assurified.com","Artificial Intelligence (AI), FinTech, InsurTech, PropTech, SaaS","Wilmington, Delaware, United States",23332,"Assurified is a technology company that offers an AI-based risk management platform for the rental housing sector.","View on LinkedIn\",,"Response","https://assurified.com","https://www.linkedin.com/company/assurified","Response","Qualified"
"RecruitU","$3,200,000","Aug 13, 2024","Seed","recruitu.com","Consulting, Recruiting, Software","New York, New York, United States",23734,"RecruitU is a recruitment tech company that leverages AI to create a network-oriented solution.","View on LinkedIn\",,"Response","https://recruitu.com","https://www.linkedin.com/company/u-recruit","Response","Qualified"
"Red Sky Health","$3,459,838","May 2, 2025","Seed","www.redskyhealth.com/","Artificial Intelligence (AI), Health Insurance, Insurance","Solon, Ohio, United States",23968,"Using AI to fix health insurance claim denials","View on LinkedIn\",,"Response","https://www.redskyhealth.com","https://www.linkedin.com/company/redskyhealth","Response","Qualified"
"Credit Pulse","$3,000,000","Aug 29, 2024","Seed","www.creditpulse.com/","Accounting, Artificial Intelligence (AI), Financial Services, FinTech, SaaS, Software","Denver, Colorado, United States",24340,"Credit Pulse is a fintech company that offers an AI decision automation platform for corporate credit managament.","View on LinkedIn\",,"Response","https://www.creditpulse.com/","https://www.linkedin.com/company/creditpulse","Response","Qualified"
"MetaAll.AI","$3,000,000","Jul 4, 2025","Seed","metaall.ai","Artificial Intelligence (AI), E-Learning, Metaverse, Sharing Economy, Social Media, Web3","Miami, Florida, United States",24574,"MetaAll is building AGI Health-Wealth Protector, colliding AI & social media technologies, building a Affiliate system for AI","View on LinkedIn\",,"Response","https://metaall.ai","https://www.linkedin.com/company/metaallai","Response","Qualified"
"Playbypoint","$2,000,000","Aug 28, 2025","Seed","playbypoint.com/","Apps, Internet, Payments, Software","Miami, Florida, United States",24656,"Playbypoint is a technology company that focuses on innovating in the sports of padel, pickleball, and tennis.","View on LinkedIn\",,"Response","https://playbypoint.com","https://www.linkedin.com/company/playbypoint","Response","Qualified"
"Givzey","$3,000,000","Oct 23, 2025","Seed","www.givzey.com","Funding Platform, Health Care, Higher Education, Non Profit, SaaS","Boston, Massachusetts, United States",25128,"Givzey is a SaaS solution for nonprofit fundraising.","View on LinkedIn\",,"Response","https://givzey.com","https://www.linkedin.com/company/givzey","Response","Qualified"
"Vent Creativity","$2,300,000","Jan 1, 2025","Seed","www.ventcreativity.com","Artificial Intelligence (AI), Health Care, Medical","New York, New York, United States",25399,"AI based digital twin company for FDA cleared surgical planning from medical images","View on LinkedIn\",,"Response","https://ventcreativity.com","https://www.linkedin.com/company/vent-creativity","Response","Qualified"
"Osavul","$3,000,000","Sep 12, 2024","Seed","www.osavul.cloud/","Artificial Intelligence (AI), B2B, Big Data, Cyber Security, Machine Learning, National Security, Natural Language Processing, Software","Wilmington, Delaware, United States",25847,"Osavul is a cybersecurity company that offers AI-based software to protect from information threats.","–",,"Response","https://osavul.cloud","https://linkedin.com/company/osavul","Response","Qualified"
"Hatz AI","$2,767,785","Feb 11, 2025","Seed","www.hatz.ai/","Artificial Intelligence (AI), Information Technology","New York, New York, United States",25878,"Hatz AI helps MSPs build an AI-as-a-service business.","View on LinkedIn\",,"Response","https://hatz.ai","https://www.linkedin.com/company/hatz-ai","Response","Qualified"
"Occupi","$3,105,000","Sep 18, 2024","Seed","rentwithoccupi.com","FinTech, PropTech, Software","Birmingham, Alabama, United States",26290,"Alternative payments for renters in affordable and workforce housing, such as Cash App, Chime, SoFi, and Venmo","–",,"Response","https://www.rentwithoccupi.com/","https://www.linkedin.com/company/occupi-app","Response","Qualified"
"Serve AI","$2,500,000","Apr 1, 2025","Seed","serveitup.ai/","Artificial Intelligence (AI), Retail Technology, SaaS, Software","Overland Park, Kansas, United States",26704,"Turn Data Into Decisions in Real-time for Restaurants and Retail operators","View on LinkedIn\",,"Response","https://serveitup.ai","https://www.linkedin.com/company/get-serve-ai","Response","Qualified"
"Get Parallel","$2,400,000","Oct 9, 2025","Seed","getparallel.com","Developer Tools, Enterprise Resource Planning (ERP), Information Technology, Software","Lehi, Utah, United States",26953,"Get Parallel is a software company that develops a headcount planning solution for finance teams.","View on LinkedIn\",,"Response","https://getparallel.com","https://www.linkedin.com/company/getparallel","Response","Qualified"
